Time,Coin,Quantity,Description
2021-08-14 04:00:00,USDT,0.00000914,FTX App Earn
2021-08-14 05:00:00,DOGE,0.06836441,FTX App Earn
2021-08-14 05:00:00,USDT,0.00000914,FTX App Earn
2021-08-14 06:00:00,DOGE,0.06836504,FTX App Earn
2021-08-14 06:00:00,USDT,0.00000914,FTX App Earn
2021-08-14 07:00:00,DOGE,0.06836566,FTX App Earn
2021-08-14 07:00:00,USDT,0.00000914,FTX App Earn
2021-08-14 08:00:00,USDT,0.00000914,FTX App Earn
2021-08-14 08:00:00,DOGE,0.06836628,FTX App Earn
2021-08-14 09:00:00,DOGE,0.06836691,FTX App Earn
2021-08-14 09:00:00,USDT,0.00000914,FTX App Earn
2021-08-14 10:00:00,DOGE,0.06836753,FTX App Earn
2021-08-14 10:00:00,USDT,0.00000914,FTX App Earn
2021-08-14 11:00:00,USDT,0.00000914,FTX App Earn
2021-08-14 11:00:00,DOGE,0.06836816,FTX App Earn
2021-08-14 12:00:00,DOGE,0.06836878,FTX App Earn
2021-08-14 12:00:00,USDT,0.00000914,FTX App Earn
2021-08-14 13:00:00,DOGE,0.06836941,FTX App Earn
2021-08-14 13:00:00,USDT,0.00000914,FTX App Earn
2021-08-14 14:00:00,DOGE,0.06837003,FTX App Earn
2021-08-14 14:00:00,USDT,0.00000914,FTX App Earn
2021-08-14 15:00:00,DOGE,0.06837066,FTX App Earn
2021-08-14 15:00:00,USDT,0.00000914,FTX App Earn
2021-08-14 16:00:00,USDT,0.00000914,FTX App Earn
2021-08-14 16:00:00,DOGE,0.06837128,FTX App Earn
2021-08-14 17:00:00,USDT,0.00000914,FTX App Earn
2021-08-14 17:00:00,DOGE,0.06837190,FTX App Earn
2021-08-14 18:00:00,DOGE,0.06837253,FTX App Earn
2021-08-14 18:00:00,USDT,0.00000914,FTX App Earn
2021-08-14 19:00:00,USDT,0.00000914,FTX App Earn
2021-08-14 19:00:00,DOGE,0.06837315,FTX App Earn
2021-08-14 20:00:00,DOGE,0.06837378,FTX App Earn
2021-08-14 20:00:00,USDT,0.00000914,FTX App Earn
2021-08-14 21:00:00,DOGE,0.06837440,FTX App Earn
